start,text
0.0, you
30.72, ...
31.72, ...
32.72, ...
33.72, ...
34.72, ...
35.72, ...
36.72, ...
37.72, ...
38.72, ...
39.72, ...
40.72, ...
41.72, ...
42.72, ...
43.72, ...
44.72, ...
45.72, ...
46.72, ...
47.72, ...
48.72, ...
49.72, ...
50.72, ...
51.72, ...
52.72, ...
53.72, ...
54.72, ...
55.72, ...
56.72," The Aztec Stadium, a wash with colour, a vibrant atmosphere for this world,"
60.72, quarter-final between Argentina and England.
63.72," Well over 100,000 here to witness it, with Spain or Belgium waiting for the winners in the semi-final."
70.72," Argentina make two changes to the side that beat Uruguay, 1-0 in their second round time."
78.72," Puebla, one of those is enforced with Oscar Garza suspended, meaning Julio Alática-Cher comes in on the left-hand side."
87.72," The other player replaced is Pedro Pascouli, who scored the winner in that match against the Uruguayans."
93.72," And Hector Enrique, the River Plate midfielder, comes in for his first start of the tournament."
98.72," Diego Maradona, as always, the man to watch."
108.72," Peter Shilton, England's most camped goalkeeper, makes his 86th appearance for his country."
114.72," The only change to the side that beat Paraguay comes at centre-half, where Terry Fenwick is available after suspension, and he returns in place of Alvin Martin."
123.72," At 29, Peter Reid is the oldest of England's outfield players."
126.72," Steve Hodge continues to provide the solution to England's troublesome left-sided position,"
131.72, whilst Gary Lineker has scored five goals in his last two appearances.
141.72, The referee is the relatively inexperienced Tunisian official Ali Bin Nasser.
154.72," This time next week, here at the Aztec of the World Cup Final, we'll be getting underway."
158.72, One of these two countries will be only one match away from a place in that final.
163.72," For the other, the journey to glory ends today."
167.72," England in the white shirts, defending the end away to our right-hand side in the first half."
173.72, Backline getting an early touch of the ball.
176.72," Mrs Fenwick on his return to the side, now Butcher."
181.72," Hodge has been a revelation on that left-hand side of midfield,"
193.72, and he's the victim of the first poor challenge of the day.
198.72, I think he'll take it quickly for Reid.
200.72, He'll take it quickly.
211.72, Promising early signs of attacking intent from England.
214.72, Kenny Sampson prepares to take this throw.
222.72," Referee spotted in infringements, a free kick to Argentina."
230.72," Argentina coming into this game, unbeaten in their last five matches."
237.72, They've had a couple of extra days to recover since they beat Uruguay.
243.72," England's win against Paraguay coming just four days ago,"
247.72, 48 hours after Argentina had played their match.
261.72," Jerry, leaving it for Aladi Cicea."
266.72, Enrique.
273.72," A model unable to make a tackle, but Gary Stevens puts his foot in for England."
287.72, This is Batista.
